"Dataset","Target","Model","Mean_RMSE","Mean_Coverage_Q_80","Mean_Width_Q_80","Mean_Coverage_Q_90","Mean_Width_Q_90","Mean_Coverage_Q_95","Mean_Width_Q_95","Mean_Coverage_HPD_80","Mean_Width_HPD_80","Mean_Coverage_HPD_90","Mean_Width_HPD_90","Mean_Coverage_HPD_95","Mean_Width_HPD_95","Mean_CRPS","Median_CRPS","Mean_Runtime"
"bikesharing","windspeed","bart",0.103525102414479,0.258455450418132,0.0473551731458203,0.319109001737716,0.0601996530286869,0.366833276690298,0.0710059616414374,0.254531167913145,0.0466592749477943,0.315696924647538,0.0595191145680359,0.364151954383475,0.0703180639954105,0.127389650741671,0.113124404995281,112.22087
"bikesharing","windspeed","bart_bc",0.110354911342574,0.870913191732369,0.397952817688111,0.923108380983045,0.498003011959043,0.946136156607725,0.572466696135108,0.837234571066472,0.355336010762743,0.91574305725319,0.469207603038415,0.946441167760772,0.553682804355886,0.111343164029046,0.0956360009246585,157.104
"bikesharing","windspeed","sblm",0.132173575602828,0.807342285582923,0.308467583550867,0.90916057008731,0.400949753554556,0.955757025889511,0.472020494891488,0.777478676050198,0.277465797589823,0.880522424348423,0.364793257664561,0.935036678849888,0.429167896976994,0.0867686544516717,0.0837790632170184,4.71340999999996
"bikesharing","windspeed","sebart",0.104548750249161,0.816324284359964,0.244381447737099,0.890062757833467,0.306181270925679,0.931210050925733,0.355369315426544,0.791783192321987,0.224856638797382,0.875712208329772,0.285720061943296,0.921802113083349,0.33827444151419,0.101036606804721,0.0902055200209036,310.30786
"forestfires","area","bart",0.064331375709022,0.756267660910518,0.0442051000234755,0.824085557299843,0.057125467390485,0.861762166405024,0.0683488482057137,0.758347723704867,0.0433344635700633,0.82675431711146,0.0562280255055129,0.862158555729984,0.0675090019052752,0.020561791338535,0.0107073669547001,0.67678
"forestfires","area","bart_bc",0.103998324250239,0.879964678178964,0.119389519549041,0.889819466248038,0.137963914345427,0.899132653061224,0.152577925663095,0.862311616954474,0.115496813399847,0.883053375196232,0.135233947262518,0.892547095761381,0.150203133042751,0.044082082524397,0.0195471318355234,1.89949
"forestfires","area","sblm",0.0420839078496441,0.872782574568289,0.0156927796255771,0.908402668759812,0.0264972471360107,0.934277864992151,0.0375955653304961,0.803622448979592,0.00871571529925416,0.873167189952904,0.0158281983551779,0.908979591836735,0.0267907448276998,0.0105804159795132,0.0081264525227329,2.78498999999999
"forestfires","area","sebart",0.0422260570908012,0.873155416012559,0.016736709942608,0.907044740973312,0.0277613971195914,0.935647566718995,0.0396594250886733,0.818740188383046,0.00912624256161609,0.874128728414443,0.0168744045235982,0.907813971742543,0.0280624552072408,0.0106097672754651,0.00816872553113549,4.01571000000001
"parkinsons","DFA","bart",0.0734362191443237,0.277689496038553,0.0515091672416621,0.349145167500963,0.0656070603770305,0.405349908402469,0.0774977266603857,0.272903437532818,0.0507302368910175,0.344926167722664,0.0648308909650475,0.401929207360474,0.0767122212430015,0.211630122658287,0.193493732444158,34.4020899999986
"parkinsons","DFA","bart_bc",0.0866933941868943,0.803536685686281,0.269672624582005,0.887095862358666,0.34585672607512,0.931983349085775,0.409303566099578,0.788930117501546,0.246572312430878,0.882684974504382,0.3263262088319,0.930195155249064,0.392586254725999,0.19352467151032,0.171866496551646,98.8694899999997
"parkinsons","DFA","sblm",0.150648119014624,0.812080810025554,0.410272965962909,0.90568406436331,0.501915947596555,0.948577525349763,0.570886090818629,0.80747211234408,0.386340472857506,0.90389616223848,0.480818207750794,0.945428933151305,0.552750329374599,0.142690286418389,0.127150522206707,12.8367900000009
"parkinsons","DFA","sebart",0.0822204245817428,0.809324686993151,0.260798922232606,0.888337504813246,0.322149150028292,0.93016230849115,0.370191113234789,0.755756000513413,0.224198924790812,0.875627005519189,0.295717816828147,0.928970665453145,0.350987669917506,0.185612508205473,0.170314488429853,188.02981
