"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","Mu_mean","Sigma_mean"
"arctangent",1,200,2300.20288401999,2300.21935793553,0.0606273085460533,0.309623826850748
"arctangent",2,200,1562.61600803539,1562.63124074003,0.140029986754025,0.2998968160641
"arctangent",3,200,1862.09023427792,1862.1060717604,0.0146861846718847,0.284360767967934
"arctangent",4,200,1903.19044587496,1903.20626330528,0.0603257846428062,0.256789737112057
"arctangent",5,200,2350.20996277504,2350.22610249353,-0.00219836810191697,0.29679179713112
"box_cox",1,200,2063.86396994921,2063.88120296779,0.135399933071802,0.29195246441136
"box_cox",2,200,1751.456841706,1751.4738500549,0.0573081292983406,0.272009989746317
"box_cox",3,200,1671.02143240053,1671.03994051102,0.119073968579239,0.343269414333822
"box_cox",4,200,1803.02387131275,1803.03950710582,0.0740364702484826,0.255824543824734
"box_cox",5,200,1911.50118934201,1911.51610029694,0.112516502986854,0.282793906271846
